directory,dep_mgr,exec_err,c1_commit,c1_results,c2_commit,c2_results
cumulus-1/data/c2/83/111521,Get,true,7f424c60224c4b1ff1715308818a005ceb8ae29f,2144,,-1
cumulus-1/data/c4/d3/374679,Get,true,89fbe9474b3758ff3adf0b7b29c95aeed115fb7b,0,,-1
cumulus-1/data/c7/91/322131,Get,true,bbeae29fdd2bcb360124d717a6420bd55ef8f511,2969,,-1
cumulus-1/data/c8/f7/157067,Godep,true,088c26abd2beeef150a2600c8f9fff7616561ad7,1758,,-1
cumulus-1/data/c9/d4/82757,Get,true,9d978217a2f84fab35dd17731da1e1c23be32d14,0,,-1
cumulus-1/data/cd/cb/338740,Get,true,,-1,,-1
cumulus-1/data/cf/39/474824,Get,false,ecbba09f83427b7fefe2e9f9c394f6d92827e1a6,2524,4976678721f4d42db0af0c7230128b4b1e832591,0
cumulus-1/data/cf/cd/431519,Get,true,,-1,,-1
cumulus-1/data/d0/ad/334411,Get,true,c3b082f2e95dffb84fb9462ac5916c9ed20198f5,0,,-1
cumulus-1/data/d1/de/351452,Get,true,,-1,,-1
cumulus-1/data/d2/2a/41469,Get,true,,-1,,-1
cumulus-1/data/d5/7c/182457,Get,true,,-1,,-1
cumulus-1/data/d7/aa/213570,Get,true,0f25ebdb0f66fac3de939396a6eeb64d3cee23cd,1990,,-1
cumulus-1/data/d9/8a/233006,Get,true,943ffb0696b6300ae92e2e6a480a8933eb3983f7,0,,-1
cumulus-1/data/e0/b7/325478,Get,true,,-1,,-1
cumulus-1/data/e5/15/130129,Get,true,6ebcb988982967981b36671b347a10a783eaa47f,3273,,-1
cumulus-1/data/e5/3d/191211,Get,true,f77a47258e001a0bd32a25d85b54bac1c3347ef3,2219,,-1
cumulus-1/data/e6/f8/228182,Get,false,b938d81255b5473c57635324295cb0fe398c7a58,3212,94ca208ccbc5c02a86d0343540c4ebc84ce52ea9,0
cumulus-1/data/e7/4b/300803,gvt,true,,-1,,-1
cumulus-1/data/e8/51/298718,Get,true,e46719b2fef404d2e531c0dd9055b1c95ff01e2e,1692,,-1
cumulus-1/data/e9/02/91676,Get,true,,-1,,-1
cumulus-1/data/ea/2a/208911,Get,false,00c72d48d5aaaf3058e26d9641164c43ba239f33,3347,d0b3a022b4fd57fbb1dde44ea5de1148c2a03f15,2991
cumulus-1/data/ea/8f/29974,Get,true,,-1,,-1
cumulus-1/data/ed/08/54203,Get,true,,-1,,-1
cumulus-1/data/f0/89/25754,Get,false,747f51edf866a77ee45c0a366d6ed268223c1a73,1802,9f748858e1cec742acf26f1b23b3177daccf7c7f,1810
cumulus-1/data/f0/b7/445709,Get,true,,-1,,-1
cumulus-1/data/f4/1b/445254,Get,true,16fac57fb59a2a0874d6c7b5d2dff934848f8747,2843,,-1
cumulus-1/data/f4/ff/406797,Godep,false,16f58a83dddc763fe09b2bb8b2540c64d3721858,0,8fe8a892ba286aef32a09328396444fd46d2c09d,0
cumulus-1/data/f5/af/464016,Get,false,891127d8d1b52734debe1b3c3d7e747502b6c366,3227,428642c9f1e452287f8cb4d9789282ae6a1afca9,0
cumulus-1/data/f6/38/246834,Get,true,251e7f0fa7d4b29ae53f11bfbc901442371bcfde,744,,-1
cumulus-1/data/f6/78/282118,Get,false,8f850f666a28216bd3676e386d868343e2ab116c,2044,cff301145de91290bed2240f39770e8b7c579d2b,0
cumulus-1/data/f9/78/467147,Get,true,,-1,,-1
cumulus-1/data/f9/f8/411907,gpm,true,,-1,,-1
cumulus-1/data/fa/3c/455555,Get,false,2831979ac77ee756fa448d4a9f2e6c2219c8382c,3480,5aa0629ea3cf8a568a07d1dfeb2c41d2a6f56e0d,3793
cumulus-1/data/fc/7e/82559,Get,true,,-1,,-1
cumulus-1/data/fd/02/313912,Get,true,,-1,,-1
cumulus-2/data/00/38/292684,Get,true,cbd310e60cb524a38f99c0540f550133ed0d6eea,0,,-1
cumulus-2/data/01/24/83581,Get,true,b49238df8538b0cbdc903f7efec8c5dbff1fed2f,3172,,-1
cumulus-2/data/03/e2/402202,Get,true,,-1,,-1
cumulus-2/data/06/3c/236180,Get,true,2f5df55504ebc322e4d52d34df6a1f5b503bf26d,2328,,-1
cumulus-2/data/07/8a/62547,Get,false,ba0abeacc3dcca5b9b20f31509c46794edbc9965,3327,fc48e29600922ffa64526c67b2aa7a20d689e1ce,5060
cumulus-2/data/08/af/242287,Get,true,,-1,,-1
cumulus-2/data/09/3b/251927,Get,true,,-1,,-1
cumulus-2/data/0d/2f/374194,Get,true,b893b9448d075a17008d94413004e337705bb212,0,,-1
cumulus-2/data/0d/68/347191,Get,true,,-1,,-1
cumulus-2/data/11/0d/71570,Get,true,8554e18a96c91918e49c8cb375ece4876e69c1f0,0,,-1
cumulus-2/data/13/d8/189606,Get,true,8cae5764dd5d63d033d9c9bb276598094ee34cc7,3847,,-1
cumulus-2/data/14/0c/154896,Get,true,87006441968485a9dc330018b02bd7a015f5a12b,770,,-1
cumulus-2/data/14/69/249955,Get,true,f6629bc6b1a0d7b52e1e025bfc8f6eaf75e7bd2a,3182,,-1
cumulus-2/data/15/a8/474846,Get,true,,-1,,-1
cumulus-2/data/16/02/263228,Get,false,bda2cfbebf53a9bb579207fefd1edd126894241b,1200,566bf243a4cef815040364269c260a797491ba03,0
cumulus-2/data/16/cc/269023,Get,true,,-1,,-1
cumulus-2/data/1d/70/122250,Get,false,a1c4500d4bee4ecb9a38d6cded7c13e86f2b1e28,2605,c6e1da0625d314eab06d22c0d7dec76e7c39090e,2729
cumulus-2/data/21/b2/394979,Get,false,37252881b3a87eaa2eb04b0ff2211f54f45199ab,2434,ba96bab6ed3fdf073608ee0f025057703657f79b,0
cumulus-2/data/22/f2/264692,Get,true,caab90145b05376536bbab332312f4812123e197,1949,,-1
cumulus-2/data/24/71/360042,Get,true,e5ee8fc0b249a7be14ff52a98688120dbf7ff06a,145,,-1
cumulus-2/data/26/e1/418931,Get,true,d9bd385d68c068f1fabb5057e3dedcbcbb039d0f,3277,,-1
cumulus-2/data/27/83/102720,Get,false,65671c440e8fa4ccbbc5a5c6c499a3c9a039f84f,3602,1ce1d027aea295c4efdedf2d511cb45584d3124a,0
cumulus-2/data/28/d7/335166,Get,true,e9042807f4f5bf47563df6992d3ea0857313e2be,2481,,-1
cumulus-2/data/2b/40/121612,Get,true,4a1e882c79dcf4ec00d2e29fac74b9c8938d5052,3160,,-1
cumulus-2/data/34/6e/295299,Get,true,0bf5dcad4ada2814c3c00f996a982270bb81a506,3629,,-1
cumulus-2/data/3b/ba/321066,Get,true,b80c151b4f94db880307b473b049fc65d7fc5a2a,2543,,-1
cumulus-2/data/3e/e1/440718,Get,false,1139cdac1a56e404b5382e3a3503a2c587d2c0c3,3461,6c87427477f6f28b74d133975db5d97cd9a92939,0
cumulus-2/data/3f/88/465751,Get,true,,-1,,-1
cumulus-2/data/45/a9/338853,Get,true,,-1,,-1
cumulus-2/data/45/c7/229510,Get,true,,-1,,-1
cumulus-2/data/46/0c/330151,Get,true,,-1,,-1
cumulus-2/data/46/7b/449103,Get,true,54608bb65939fc94439865d46598a57f7f15fb0e,2565,,-1
cumulus-2/data/46/cc/466912,Get,true,08e10f212ba5d1a2be60d3b61c490a1918461e9f,3054,,-1
cumulus-2/data/47/0e/12054,Godep,true,fa5c0d40cdd9a2524340b3ee5555e5f0536e42a8,0,,-1
cumulus-2/data/47/19/6676,Get,false,8931874cad5cacc627b94fcbcb182460e174aeef,3012,ca021894dd830e4093200465a8f3d3fac0b0d8db,3507
cumulus-2/data/4b/82/361236,Get,true,,-1,,-1
cumulus-2/data/4d/76/213408,Get,true,40a2567d3dca09368d5f53045840490cfc9c62c3,3047,,-1
cumulus-2/data/54/6a/375658,Get,true,4d7077956293261309684d3cf1af673f773c6819,2242,,-1
cumulus-2/data/56/79/218289,Glide,true,7f3c697b6e4c624aa0f8d29ff97e9bfe20deb8f9,1093,,-1
cumulus-2/data/59/a8/436618,Get,true,,-1,,-1
cumulus-2/data/59/ab/140751,Get,true,1031fa0ce2f20c1c0e1e1b51951d8ea02c84fa05,0,,-1
cumulus-2/data/5a/88/375963,Get,true,0ff28e741439d79d5896d57490a3da8d5e65fa17,3036,,-1
cumulus-2/data/5a/d3/255626,Get,false,b9127a139315e57ebc26030e7decf72d0a20acb4,3706,70b9150cff0f74fc85310b5a47643aab455ba579,0
cumulus-2/data/5c/f3/95727,Get,false,6abbd1b822699a4925c76df1740b266f17c2c9ae,3177,0a19add008eb8fd14f52456b0fd0463d51d0595f,0
cumulus-2/data/5d/ec/381128,Get,true,,-1,,-1
cumulus-2/data/5e/d4/420628,Get,true,9e3ea3e806141087fbb83a8a8e7038bf73eff120,24,,-1
