project_name,function,executions,mean,cv,rciw95,rciw99,rciw99mjhd,rmad,rmadhd,code_pkgfiles,code_fileloc,code_namelength,code_parameters,code_returns,code_loc,code_funccalls,code_loops,code_nestedloops,code_channels,code_sends,code_receives,code_closes,code_gos,code_concrranges,code_selects,code_selectcases,code_variables,code_pointers,code_slices,code_maps,code_ifelses,code_switches,code_switchcases,code_panics,code_recovers,code_defers,code_cyclomaticcomplexity,code_bufio,code_bytes,code_crypto,code_database/sql,code_encoding,code_encoding/binary,code_encoding/csv,code_encoding/json,code_encoding/xml,code_io,code_io/ioutil,code_math,code_math/rand,code_mime,code_net,code_net/http,code_net/http/httptest,code_net/http/httptrace,code_net/http/httputil,code_net/rpc,code_net/rpc/jsonrpc,code_net/smtp,code_net/textproto,code_os,code_os/exec,code_os/signal,code_sort,code_strconv,code_sync,code_sync/atomic,code_syscall,bench_pkgfiles,bench_fileloc,bench_namelength,bench_parameters,bench_returns,bench_loc,bench_funccalls,bench_loops,bench_nestedloops,bench_channels,bench_sends,bench_receives,bench_closes,bench_gos,bench_concrranges,bench_selects,bench_selectcases,bench_variables,bench_pointers,bench_slices,bench_maps,bench_ifelses,bench_switches,bench_switchcases,bench_panics,bench_recovers,bench_defers,bench_cyclomaticcomplexity,bench_bufio,bench_bytes,bench_crypto,bench_database/sql,bench_encoding,bench_encoding/binary,bench_encoding/csv,bench_encoding/json,bench_encoding/xml,bench_io,bench_io/ioutil,bench_math,bench_math/rand,bench_mime,bench_net,bench_net/http,bench_net/http/httptest,bench_net/http/httptrace,bench_net/http/httputil,bench_net/rpc,bench_net/rpc/jsonrpc,bench_net/smtp,bench_net/textproto,bench_os,bench_os/exec,bench_os/signal,bench_sort,bench_strconv,bench_sync,bench_sync/atomic,bench_syscall
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub512k,10,116643.2,9.114183453119136,10.8124605634962,13.755795451427954,34.01571163084543,14.921528360872497,14.37792258454585,7970,204563,26,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub64k,10,14464.2,0.8797176637947463,1.0315122855048942,1.3827242433041578,2.7324908273625548,1.4051416660900853,1.2366468637460173,7970,204563,25,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Pub8k,10,2876.4,2.038216502993777,2.513558614935342,3.264497288277016,3.1680065455957265,1.530578750872296,1.491488171474223,7970,204563,24,1,557,7761,3048,157,50,23,17,38,5,20,0,21,55,128,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,9,345,79,2,29,1876,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2PubMultiTopic1,10,683.5,0.8621150709419014,1.0095098756400844,1.2874908558888176,2.458110579022729,1.1876323099415205,1.0734007400163146,7970,204563,33,1,557,7762,3045,157,50,23,17,38,5,20,0,21,55,129,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,8,345,79,2,29,1876,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2PubMultiTopic16,10,244.7,4.61164673993741,5.63955864323661,7.27421332243564,15.328761571395408,2.270013373253493,3.4049632205661067,7970,204563,34,1,557,7762,3045,157,50,23,17,38,5,20,0,21,55,129,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,8,345,79,2,29,1876,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2PubMultiTopic2,10,387.6,0.8787093068073477,1.0835913312693468,1.367389060887516,1.2407465853448172,0.6305359637774903,0.5662530662440873,7970,204563,33,1,557,7762,3045,157,50,23,17,38,5,20,0,21,55,129,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,8,345,79,2,29,1876,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2PubMultiTopic32,10,252.1,4.029863918725527,4.244347481158266,5.632685442284815,13.05347103757324,6.782962425447317,6.357526400468222,7970,204563,34,1,557,7762,3045,157,50,23,17,38,5,20,0,21,55,129,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,8,345,79,2,29,1876,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2PubMultiTopic4,10,244.2,2.173740566464033,2.3341523341523294,2.9893529893529944,4.623331933894848,2.330485040983606,2.124355862807143,7970,204563,33,1,557,7762,3045,157,50,23,17,38,5,20,0,21,55,129,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,8,345,79,2,29,1876,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2PubMultiTopic8,10,228.4,3.479442631683737,4.378283712784588,5.604203152364278,9.832342366492393,4.944681304347826,4.541800859207486,7970,204563,33,1,557,7762,3045,157,50,23,17,38,5,20,0,21,55,129,28,138,29,801,23,97,8,0,53,1678,28,25,10,0,34,10,0,22,0,51,8,11,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,8,345,79,2,29,1876,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsqio/nsq,/nsqd/protocol_v2_test.go/BenchmarkProtocolV2Sub1m,10,166142.9,0.6244072767469314,0.7651244801914392,0.9630865959363932,1.294962987086251,0.6466299497448074,0.6677094845806478,8092,212183,24,1,560,7820,3088,157,48,25,18,40,6,18,0,21,55,128,28,135,30,807,23,97,8,0,53,1693,29,24,10,0,34,10,0,22,0,51,8,13,6,1,189,73,0,0,0,0,0,0,0,48,0,0,13,10,341,79,2,29,1876,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
